Longitude;Latitude;chlor_a
105,8541616;-4,0625;5,377435
105,8958282;-4,0625;4,0633993
105,9374949;-4,0625;3,708545
105,9791616;-4,0625;3,309465
106,0208282;-4,0625;3,0496976
106,0624949;-4,0625;2,6395698
106,1041616;-4,0625;2,353955
106,1458282;-4,0625;2,0963974
106,1874949;-4,0625;2,0706594
106,2291616;-4,0625;2,2420793
106,2708282;-4,0625;2,243703
106,3124949;-4,0625;2,173334
106,3541616;-4,0625;2,1169987
106,3958282;-4,0625;2,0121372
106,4374949;-4,0625;1,8780702
106,4791616;-4,0625;1,7630876
106,5208282;-4,0625;1,6289141
106,5624949;-4,0625;1,4839221
106,6041616;-4,0625;1,431174
106,6458282;-4,0625;1,4240882
106,6874949;-4,0625;1,3843346
106,7291616;-4,0625;1,2390165
106,7708282;-4,0625;1,0969733
106,8124949;-4,0625;0,9992512
106,8541616;-4,0625;0,90034926
106,8958282;-4,0625;0,78710175
106,9374949;-4,0625;0,6278671
106,9791616;-4,0625;0,5470252
107,0208282;-4,0625;0,5634696
107,0624949;-4,0625;0,5369071
107,1041616;-4,0625;0,5028085
107,1458282;-4,0625;0,57304525
107,1874949;-4,0625;0,5707901
107,2291616;-4,0625;0,5736714
107,2708282;-4,0625;0,5802475
107,3124949;-4,0625;0,56475407
107,3541616;-4,0625;0,6176506
107,3958282;-4,0625;0,6216813
105,8958282;-4,104166667;3,8645725
105,9374949;-4,104166667;3,6673322
105,9791616;-4,104166667;3,394357
106,0208282;-4,104166667;3,0716002
106,0624949;-4,104166667;2,5812566
106,1041616;-4,104166667;2,2926998
106,1458282;-4,104166667;2,1002326
106,1874949;-4,104166667;2,0067565
106,2291616;-4,104166667;1,887136
106,2708282;-4,104166667;1,8715352
106,3124949;-4,104166667;1,9778597
106,3541616;-4,104166667;2,0572102
106,3958282;-4,104166667;2,0304396
106,4374949;-4,104166667;1,9052801
106,4791616;-4,104166667;1,7067715
106,5208282;-4,104166667;1,5174747
106,5624949;-4,104166667;1,4182801
106,6041616;-4,104166667;1,3970673
106,6458282;-4,104166667;1,3723648
106,6874949;-4,104166667;1,3603257
106,7291616;-4,104166667;1,254648
106,7708282;-4,104166667;1,1091746
106,8124949;-4,104166667;1,016168
106,8541616;-4,104166667;0,9786744
106,8958282;-4,104166667;0,94716424
106,9374949;-4,104166667;0,8328521
106,9791616;-4,104166667;0,74076575
107,0208282;-4,104166667;0,56347233
107,1458282;-4,104166667;0,57079077
107,1874949;-4,104166667;0,5745372
107,2291616;-4,104166667;0,5726354
107,2708282;-4,104166667;0,56376696
107,3124949;-4,104166667;0,5608446
107,3541616;-4,104166667;0,5636472
107,3958282;-4,104166667;0,6348615
105,8541616;-4,145833333;3,9435925
105,8958282;-4,145833333;3,7073412
105,9374949;-4,145833333;3,4637873
105,9791616;-4,145833333;3,4363997
106,0208282;-4,145833333;2,9464607
106,0624949;-4,145833333;2,5210667
106,1041616;-4,145833333;2,3131483
106,1458282;-4,145833333;2,1032295
106,1874949;-4,145833333;1,9915515
106,2291616;-4,145833333;1,8918461
106,2708282;-4,145833333;1,993328
106,3124949;-4,145833333;1,9140724
106,3541616;-4,145833333;1,9844401
106,3958282;-4,145833333;1,8902053
106,4374949;-4,145833333;1,8385506
106,4791616;-4,145833333;1,7415049
106,5208282;-4,145833333;1,5934426
106,5624949;-4,145833333;1,499952
106,6041616;-4,145833333;1,3846601
106,6458282;-4,145833333;1,2267357
106,6874949;-4,145833333;1,1207415
106,7291616;-4,145833333;1,3160546
106,7708282;-4,145833333;1,124887
106,8124949;-4,145833333;0,94489735
106,8541616;-4,145833333;0,7913254
107,2291616;-4,145833333;0,5716119
107,2708282;-4,145833333;0,57161206
107,3124949;-4,145833333;0,5484996
107,3541616;-4,145833333;0,5562558
107,3958282;-4,145833333;0,57659626
105,8541616;-4,1875;3,6147687
105,8958282;-4,1875;3,2585993
105,9374949;-4,1875;3,0937774
105,9791616;-4,1875;3,2075896
106,0208282;-4,1875;2,9288766
106,0624949;-4,1875;2,839335
