Longitude;Latitude;sst
104,4791616;-4,145833333;32,53
104,5208282;-4,145833333;32,53
105,7291616;-4,145833333;31,97
105,7708282;-4,145833333;31,97
105,8124949;-4,145833333;32,98
105,8541616;-4,145833333;30,925
105,8958282;-4,145833333;30,65
105,9374949;-4,145833333;30,179998
105,9791616;-4,145833333;30,525
106,0208282;-4,145833333;30,574999
106,0624949;-4,145833333;30,525
106,1041616;-4,145833333;30,484999
106,1458282;-4,145833333;30,5
106,1874949;-4,145833333;30,535
106,2291616;-4,145833333;30,75
106,2708282;-4,145833333;30,625
106,3124949;-4,145833333;30,31
106,3541616;-4,145833333;30,199999
106,3958282;-4,145833333;30,22
106,4374949;-4,145833333;30,215
106,4791616;-4,145833333;30,164999
106,5208282;-4,145833333;30,224998
106,5624949;-4,145833333;30,175
106,6041616;-4,145833333;30,164999
106,6458282;-4,145833333;30,144999
106,6874949;-4,145833333;30,035
106,7291616;-4,145833333;30
106,7708282;-4,145833333;29,925
106,8124949;-4,145833333;29,965
106,8541616;-4,145833333;29,865
106,8958282;-4,145833333;29,814999
106,9374949;-4,145833333;29,91
106,9791616;-4,145833333;29,789999
107,0208282;-4,145833333;29,635
107,0624949;-4,145833333;29,585
107,1041616;-4,145833333;29,585
107,1458282;-4,145833333;29,574999
107,1874949;-4,145833333;29,679998
107,2291616;-4,145833333;29,785
107,2708282;-4,145833333;29,685
107,3124949;-4,145833333;29,695
107,3541616;-4,145833333;29,71
107,3958282;-4,145833333;29,734999
107,4374949;-4,145833333;29,734999
107,4791616;-4,145833333;29,63
107,5208282;-4,145833333;29,539999
107,5624949;-4,145833333;29,505
107,6041616;-4,145833333;29,46
107,6458282;-4,145833333;29,445
104,4791616;-4,1875;32,53
104,5208282;-4,1875;32,53
105,7291616;-4,1875;31,97
105,7708282;-4,1875;31,97
105,8124949;-4,1875;31,32
105,8541616;-4,1875;30,179998
105,8958282;-4,1875;30,765
105,9374949;-4,1875;30,56
105,9791616;-4,1875;30,324999
106,0208282;-4,1875;30,3
106,0624949;-4,1875;30,16
106,1041616;-4,1875;30,21
106,1458282;-4,1875;30,474998
106,1874949;-4,1875;30,664999
106,2291616;-4,1875;30,59
106,2708282;-4,1875;30,519999
106,3124949;-4,1875;30,22
106,3541616;-4,1875;30,23
106,3958282;-4,1875;30,279999
106,4374949;-4,1875;30,265
106,4791616;-4,1875;30,215
106,5208282;-4,1875;30,265
106,5624949;-4,1875;30,175
106,6041616;-4,1875;30,029999
106,6458282;-4,1875;30
106,6874949;-4,1875;30,08
106,7291616;-4,1875;30,07
106,7708282;-4,1875;29,849998
106,8124949;-4,1875;29,91
106,8541616;-4,1875;29,974998
106,8958282;-4,1875;29,92
106,9374949;-4,1875;29,849998
106,9791616;-4,1875;29,65
107,0208282;-4,1875;29,55
107,0624949;-4,1875;29,585
107,1041616;-4,1875;29,585
107,1458282;-4,1875;29,484999
107,1874949;-4,1875;29,605
107,2291616;-4,1875;29,685
107,2708282;-4,1875;29,465
107,3124949;-4,1875;29,5
107,3541616;-4,1875;29,554998
107,3958282;-4,1875;29,455
107,4374949;-4,1875;29,545
107,4791616;-4,1875;29,699999
107,5208282;-4,1875;29,715
107,5624949;-4,1875;29,64
107,6041616;-4,1875;29,585
107,6458282;-4,1875;29,56
104,4791616;-4,229166667;32,53
104,5208282;-4,229166667;32,53
105,8124949;-4,229166667;31,32
105,8541616;-4,229166667;30,92
105,8958282;-4,229166667;31,285
105,9374949;-4,229166667;31,605
